mode,relative_absolute_error,closer_to_anchor,movement_from_t0
governed,0.0792717559651845,0.016666666666666666,-0.027469146287966813
naive,0.10149704464731558,0.016666666666666666,0.02470456455985123
unconstrained,0.10215034303407461,0.020833333333333332,0.025622724896926807
