t,governance,proposed_claims,proposed_intensity,accepted,reject_reason,n_rejected,claim_value,theme
3,unconstrained,EXAGGERATED,0.8,True,none,0,774.0,ECONOMIC
6,unconstrained,EXAGGERATED,0.8,True,none,0,774.0,ECONOMIC
9,unconstrained,EXAGGERATED,0.8,True,none,0,774.0,ECONOMIC
12,unconstrained,EXAGGERATED,0.8,True,none,0,774.0,ECONOMIC
