t,governance,proposed_claims,proposed_intensity,accepted,reject_reason,n_rejected,claim_value,theme
3,unconstrained,EXAGGERATED,0.8,True,none,0,819.2,ECONOMIC
6,unconstrained,EXAGGERATED,0.8,True,none,0,819.2,ECONOMIC
9,unconstrained,EXAGGERATED,0.8,True,none,0,819.2,ECONOMIC
12,unconstrained,EXAGGERATED,0.8,True,none,0,819.2,ECONOMIC
