t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,89.85249999999999,94.6256,0.967212643678161,0.9123494252873563,-0.07286079182630886,-0.1947790549169861,0.5290586206896555,0.9489885057471263,1.0,1.0,0.9178736814638657
1,89.861,92.22375,0.9671149425287355,0.9399568965517242,-0.07307790549169871,-0.13342911877394625,0.41865977011494254,0.9338160919540229,1.0,1.0,0.9031074961025233
2,89.15,90.50495,0.975287356321839,0.9597132183908047,-0.05491698595146886,-0.0895261813537674,0.3420068965517243,0.9544770114942529,1.0,1.0,0.9308893612101995
3,87.4425,88.15144999999998,0.9949137931034483,0.9867649425287358,-0.01130268199233705,-0.02941123882503149,0.27155402298850567,0.9901091954022988,0.8500000000000001,1.0,0.8373123009066589
4,86.632,86.833,0.9957701149425288,0.998080459770115,0.009399744572158237,0.004265644955300169,0.18305632183908044,0.9992988505747127,1.0,1.0,0.9950719312987185
5,85.75399999999999,85.72695,0.9856781609195401,0.9853672413793104,0.031826309067688616,0.03251724137931029,0.15394597701149437,0.9997183908045979,1.0,1.0,0.9854005848857181
6,83.28399999999999,83.98544999999999,0.957287356321839,0.9653499999999998,0.09491698595146893,0.07700000000000036,0.1326678160919539,0.9811781609195401,0.8500000000000001,1.0,0.798379030585282
7,83.425,83.8948,0.9589080459770114,0.9643080459770116,0.09131545338441897,0.07931545338441881,0.13659425287356344,0.993206896551724,1.0,1.0,0.9523940844233054
8,83.4995,83.82300000000001,0.9597643678160919,0.9634827586206898,0.08941251596424017,0.08114942528735614,0.14658505747126432,0.987890804597701,1.0,1.0,0.9481423935460428
9,81.01050000000001,82.40429999999999,0.9311551724137932,0.9471758620689654,0.15298850574712625,0.11738697318007683,0.14440919540229877,0.9496379310344828,0.75,1.0,0.6631952035523189
10,80.846,82.2576,0.929264367816092,0.9454896551724138,0.1571902937420178,0.12113409961685834,0.14294022988505747,0.959419540229885,1.0,1.0,0.8915543925221296
11,81.9295,82.7118,0.9417183908045977,0.9507103448275862,0.1295146871008939,0.10953256704980852,0.1548494252873562,0.9751896551724137,1.0,1.0,0.918354032798256
12,80.771,81.98105000000001,0.9284022988505747,0.94231091954023,0.1591060025542784,0.12819795657726665,0.16901264367816105,0.9492068965517243,0.8500000000000001,1.0,0.7490589851169245
13,81.033,82.35405,0.9314137931034483,0.946598275862069,0.15241379310344824,0.11867049808429117,0.1402448275862071,0.9627758620689657,1.0,1.0,0.8967427175980976
14,81.583,82.6066,0.937735632183908,0.9495011494252874,0.13836526181353773,0.11221966794380588,0.13577356321839074,0.9835804597701148,1.0,1.0,0.9223384442462674
