t,governance,proposed_claims,proposed_intensity,accepted,reject_reason,n_rejected,claim_value,theme
3,governed,FACTUAL,0.8,True,none,0,47.85,ECONOMIC
6,governed,FACTUAL,0.8,True,none,0,47.85,ECONOMIC
9,governed,FACTUAL,0.8,True,none,0,47.85,ECONOMIC
12,governed,FACTUAL,0.8,True,none,0,47.85,ECONOMIC
