informed_frac,mode,seed,obj_acc,capture
0.1,governed,0,0.748061002938751,0.36099615232251714
0.1,governed,1,0.8101725386166181,0.28548315231416554
0.1,governed,2,0.7805484559406919,0.1884930091963735
0.1,governed,3,0.8848300432109092,0.006959934054727167
0.1,governed,4,0.9576137814693504,0.02242116232100484
0.1,governed,5,0.9180361085153753,0.1090913508542367
0.1,unconstrained,0,0.5094260973327093,0.7381182079335179
0.1,unconstrained,1,0.499246604706009,0.750670072299339
0.1,unconstrained,2,0.625315675687963,0.5549092548151571
0.1,unconstrained,3,0.6447235495031973,0.5186752736655973
0.1,unconstrained,4,0.5799940519172633,0.6305077779120385
0.1,unconstrained,5,0.592173763561682,0.6108485295250538
0.25,governed,0,0.8930166024150531,0.1500212354083299
0.25,governed,1,0.8913964130412723,0.15826500410639296
0.25,governed,2,0.8656828964178305,0.1458996450061378
0.25,governed,3,0.8736230270127452,0.035914040318305515
0.25,governed,4,0.9892216938178493,0.015917778360040352
0.25,governed,5,0.9089760877150673,0.13204333520433562
0.25,unconstrained,0,0.696669459679726,0.4543453048736864
0.25,unconstrained,1,0.7036129782239768,0.4323748104097772
0.25,unconstrained,2,0.7517428128653181,0.36110258880993806
0.25,unconstrained,3,0.7518354283733848,0.3316068419393202
0.25,unconstrained,4,0.7206350189503182,0.41546379332701894
0.25,unconstrained,5,0.7257885421566024,0.40670302881801257
0.4,governed,0,0.8967351008133795,0.14290326463227188
0.4,governed,1,0.9096252657410738,0.1324515656828078
0.4,governed,2,0.8335614083990366,0.15471530050588503
0.4,governed,3,0.9125269505653184,0.04728820431406517
0.4,governed,4,0.9315215211163443,0.09975853790593456
0.4,governed,5,0.9070797536293261,0.11765224519066692
0.4,unconstrained,0,0.7558190643121965,0.3635674822037301
0.4,unconstrained,1,0.7317921109150777,0.39801225614441327
0.4,unconstrained,2,0.8126827437196087,0.2633266557644098
0.4,unconstrained,3,0.8549560503138289,0.16658845206585757
0.4,unconstrained,4,0.841991351547146,0.2317867843634064
0.4,unconstrained,5,0.7857996985282859,0.2955161203805079
0.55,governed,0,0.9357204079687494,0.07723224995034925
0.55,governed,1,0.9263073194775121,0.08888054849164467
0.55,governed,2,0.8744419834841954,0.12027424611714024
0.55,governed,3,0.9207291132119558,0.06698641447302739
0.55,governed,4,0.9405514269998309,0.08489231021826014
0.55,governed,5,0.938762917736185,0.060178345159577894
0.55,unconstrained,0,0.8171222589977263,0.2700006930996608
0.55,unconstrained,1,0.7352429917956473,0.393891543606924
0.55,unconstrained,2,0.8499222767125764,0.20307877698978552
0.55,unconstrained,3,0.8515203287918021,0.1700054403024738
0.55,unconstrained,4,0.8667010231743012,0.1903990405377057
0.55,unconstrained,5,0.8262672249230176,0.2492051497263272
