attack_strength,informed_frac,gov_acc,unc_acc,acc_gap,gov_drift,unc_drift,drift_gap
0.0,0.1,0.9265806395348837,0.8974053835872762,0.029175255947607504,0.09511816052971572,0.1972083287853812,0.10209016825566547
0.0,0.25,0.9492738134856991,0.9253669927826784,0.023906820703020637,0.06443240494780064,0.14488357224004275,0.08045116729224211
0.0,0.4,0.9419054918470997,0.9495384182036888,-0.007632926356589076,0.0580756108178147,0.10169480224761654,0.04361919142980184
0.0,0.55,0.9447057651697406,0.956444940523924,-0.011739175354183451,0.05242145853752717,0.07625890154890261,0.023837443011375435
0.33,0.1,0.9343744737369688,0.8822662880914194,0.05210818564554942,0.09016337473826062,0.21800400530718164,0.12784063056892103
0.33,0.25,0.9503112179230152,0.9197353698877305,0.03057584803528468,0.06542284663748535,0.1541596310311413,0.08873678439365595
0.33,0.4,0.9433157287489977,0.9501137683774392,-0.006798039628441499,0.05971817626191737,0.10290004798553543,0.04318187172361806
0.33,0.55,0.9466008002539428,0.9581731358593959,-0.011572335605453121,0.05223996503645785,0.08367886394940452,0.03143889891294667
0.66,0.1,0.9361018170275327,0.8628129440657578,0.07328887296177489,0.09511430033933296,0.25368101819366495,0.158566717854332
0.66,0.25,0.9474866392675755,0.91651844560278,0.03096819366479553,0.07327662204104667,0.16052822811785322,0.08725160607680656
0.66,0.4,0.9398087837476612,0.9466230326116012,-0.006814248863939998,0.05894640433336306,0.1118028135116874,0.05285640917832434
0.66,0.55,0.9465763512429831,0.9547974812884255,-0.008221130045442337,0.04845032411120027,0.08444612523760733,0.035995801126407066
1.0,0.1,0.9279250979016305,0.843055058139535,0.0848700397620955,0.09826894022505869,0.28901624677002585,0.19074730654496716
1.0,0.25,0.9515732190590752,0.8960943985565357,0.055478820502539494,0.06037568729766249,0.1944723394480084,0.1340966521503459
1.0,0.4,0.94303851677359,0.930262959770115,0.012775557003474991,0.06270419641398627,0.14162258939974462,0.07891839298575835
1.0,0.55,0.9441301326516973,0.954166115343491,-0.010035982691793732,0.050896721529819895,0.10006859704030405,0.04917187551048415
