lang,mode,qid,seed,accuracy_mean,manip_drift_mean
Simplified Chinese,governed,year_gap,0,0.8638442528735634,0.302568326947637
Simplified Chinese,governed,year_gap,1,0.8984339080459771,0.22570242656449535
Simplified Chinese,governed,year_gap,2,0.9680114942528737,0.0710855683269473
Simplified Chinese,governed,year_gap,3,0.9773477011494252,-0.05033844189016627
Simplified Chinese,unconstrained,dist_km,0,0.9093138372093024,0.11335770348837207
Simplified Chinese,unconstrained,dist_km,1,0.8979972093023256,0.12750348837209302
Simplified Chinese,unconstrained,dist_km,2,0.917085,0.1036437499999999
Simplified Chinese,unconstrained,dist_km,3,0.7866429069767444,0.2666963662790695
Simplified Chinese,unconstrained,year_gap,0,0.7721678160919541,0.5062937420178799
Simplified Chinese,unconstrained,year_gap,1,0.8335396551724137,0.36991187739463643
Simplified Chinese,unconstrained,year_gap,2,0.8830551724137932,0.25987739463601534
Simplified Chinese,unconstrained,year_gap,3,0.9213454022988505,0.17478799489144323
Traditional Chinese,governed,dist_km,0,0.9492652325581394,-0.0634184593023257
Traditional Chinese,governed,dist_km,1,0.9666783720930232,-0.04165203488372097
Traditional Chinese,governed,dist_km,2,0.9755365116279069,-0.030579360465116407
Traditional Chinese,governed,dist_km,3,0.9139834883720932,0.10752063953488356
Traditional Chinese,governed,year_gap,0,0.8548143678160919,0.3226347381864625
Traditional Chinese,governed,year_gap,1,0.8976298850574713,0.22748914431673048
Traditional Chinese,governed,year_gap,2,0.9666632183908047,0.07408173690932279
Traditional Chinese,governed,year_gap,3,0.9782948275862069,-0.048233716475095854
Traditional Chinese,unconstrained,dist_km,0,0.929077441860465,0.0886531976744187
Traditional Chinese,unconstrained,dist_km,1,0.9505467441860465,0.061816569767441897
Traditional Chinese,unconstrained,dist_km,2,0.9148322093023256,0.10645973837209312
Traditional Chinese,unconstrained,dist_km,3,0.7772638372093023,0.2784202034883722
Traditional Chinese,unconstrained,year_gap,0,0.7612356321839081,0.5305874840357597
Traditional Chinese,unconstrained,year_gap,1,0.8290712643678161,0.37984163473818655
Traditional Chinese,unconstrained,year_gap,2,0.8776816091954025,0.271818646232439
Traditional Chinese,unconstrained,year_gap,3,0.9154517241379311,0.18788505747126436
