condition,qid,seed,policy_passed_gate,accuracy,manip_drift,divergence
blocked_misleading,dist_km,0,False,0.9918058139534883,-0.010242732558139572,0.3357106976744186
factual_probe,dist_km,0,True,0.9040848837209301,0.11989389534883732,0.37059046511627924
blocked_misleading,dist_km,1,False,0.9958686046511628,-0.005164244186046507,0.18378395348837215
factual_probe,dist_km,1,True,0.974767441860465,0.03154069767441867,0.2558376744186048
blocked_misleading,dist_km,2,False,0.9698360465116279,-0.03770494186046516,0.138403023255814
factual_probe,dist_km,2,True,0.9976848837209302,0.0028938953488371884,0.15119488372093037
blocked_misleading,year_gap,0,False,0.9409367816091955,0.13125159642401005,0.2935609195402299
factual_probe,year_gap,0,True,0.9044827586206896,0.2122605363984675,0.3120241379310345
blocked_misleading,year_gap,1,False,0.9381724137931036,0.13739463601532545,0.15404712643678167
factual_probe,year_gap,1,True,0.9119080459770115,0.19575989782886338,0.17077126436781595
blocked_misleading,year_gap,2,False,0.9479252873563218,0.11572158365261823,0.18502183908045966
factual_probe,year_gap,2,True,0.9334137931034482,0.147969348659004,0.1407482758620689
blocked_misleading,pct_share,0,False,0.9823472222222223,-0.01604797979797981,0.27116111111111124
factual_probe,pct_share,0,True,0.9062916666666667,0.08518939393939395,0.3178861111111111
blocked_misleading,pct_share,1,False,0.9861111111111112,0.012626262626262628,0.12316111111111105
factual_probe,pct_share,1,True,0.9524722222222223,0.04320707070707067,0.1615888888888891
blocked_misleading,pct_share,2,False,0.9941111111111111,0.0053535353535354374,0.13531388888888884
factual_probe,pct_share,2,True,0.9727222222222223,0.024797979797979784,0.15008055555555563
blocked_misleading,count_k,0,False,0.9725937499999999,-0.04567708333333345,0.255584765625
factual_probe,count_k,0,True,0.9290654296874998,0.11822428385416693,0.3030449218749999
blocked_misleading,count_k,1,False,0.9960361328125,0.0066064453124999485,0.15284023437499994
factual_probe,count_k,1,True,0.9411201171874999,0.09813313802083351,0.22395488281249987
blocked_misleading,count_k,2,False,0.9904091796875,-0.015984700520833374,0.14837402343750017
factual_probe,count_k,2,True,0.9884873046875,0.01918782552083331,0.20500546874999992
