byz_frac,governed,seed,obj_acc,capture
0.0,True,0,0.8916622050267979,0.14646178441983357
0.0,True,1,0.9150990287958068,0.12418365165655566
0.0,True,2,0.8413735523421055,0.16685820294711945
0.0,True,3,0.8994922158199532,0.04871438887864105
0.0,True,4,0.9572189526687229,0.04812416209663655
0.0,True,5,0.9160764128377819,0.09728014933147995
0.0,False,0,0.8922461281245309,0.1479877583990701
0.0,False,1,0.9059785044450471,0.1406332890843024
0.0,False,2,0.8329809154565272,0.15610415881730233
0.0,False,3,0.8806475194787402,0.037427625197186405
0.0,False,4,0.9570714954732891,0.04518740601298921
0.0,False,5,0.9086116445033792,0.11576648086235555
0.1,True,0,0.8931033029505598,0.14928265663780282
0.1,True,1,0.9187522492720068,0.0939380180484038
0.1,True,2,0.8448411831125485,0.16449545321792136
0.1,True,3,0.9206165614057226,0.07879199815514767
0.1,True,4,0.9291050450630088,0.07267988778118985
0.1,True,5,0.928429529563794,0.08384499010626567
0.1,False,0,0.8053376092445774,0.2864819590612713
0.1,False,1,0.7800520852369426,0.32830940924645075
0.1,False,2,0.8056534135376674,0.2723336265823431
0.1,False,3,0.8751059260228746,0.10453754201412277
0.1,False,4,0.926733963157734,0.10359313399071
0.1,False,5,0.9049223182697462,0.12539261052922976
0.2,True,0,0.9151758263007832,0.12446047144793736
0.2,True,1,0.9181763122642022,0.10649390083830956
0.2,True,2,0.8755395392352344,0.1419252429062274
0.2,True,3,0.9060644736915222,0.10205257342146033
0.2,True,4,0.8976911830462572,0.142969504908661
0.2,True,5,0.9218420757344077,0.10603752341074556
0.2,False,0,0.8291299884289896,0.2560122351608464
0.2,False,1,0.8236426326102054,0.2626260837457354
0.2,False,2,0.7996974707498892,0.29788804872045227
0.2,False,3,0.8728840330473606,0.17527758569412544
0.2,False,4,0.8387380457283338,0.24055705507339095
0.2,False,5,0.8556103416727137,0.21440993291233038
0.3,True,0,0.9092380171244681,0.12982764756754775
0.3,True,1,0.8897196498098928,0.1641901462271107
0.3,True,2,0.8811578194997309,0.1295431175032129
0.3,True,3,0.9043607569362238,0.07238492318119813
0.3,True,4,0.8774092246863896,0.16396731376936957
0.3,True,5,0.9190506803573928,0.11908309025636574
0.3,False,0,0.8198181175599294,0.2686704552871927
0.3,False,1,0.7815893987287226,0.32802734061576144
0.3,False,2,0.7817354927416564,0.32282451566376075
0.3,False,3,0.8564609157498522,0.2115539087101965
0.3,False,4,0.8045631923141592,0.29086498839096026
0.3,False,5,0.7999352466836689,0.29884335451256905
0.4,True,0,0.9303995885160591,0.10422391696490133
0.4,True,1,0.8742561238595417,0.1887181715689929
0.4,True,2,0.8768197779451373,0.1234265023609063
0.4,True,3,0.9140217913446719,0.0936572566125419
0.4,True,4,0.9154970891884588,0.1224325786090151
0.4,True,5,0.9138048092577735,0.11737871954490922
0.4,False,0,0.7836580227752894,0.32395714472411546
0.4,False,1,0.7779595897890209,0.3315012624983088
0.4,False,2,0.8314448534866068,0.2431638033550937
0.4,False,3,0.8757875960833811,0.1779023204602786
0.4,False,4,0.8280844348495701,0.253955846090436
0.4,False,5,0.8965913365316522,0.14807696761414724
