comparison,n_cells,mean_benefit,ci_lo,ci_hi,W,p,frac_positive,significant
pooled across languages (accuracy),13,0.0748,0.0701,0.0798,0.0,0.0002,1.0,True
pooled across languages (drift reduction),13,0.1738,0.1681,0.1786,0.0,0.0002,1.0,True
