t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,469.189,500.50675,0.9088627906976744,0.8360308139534883,0.11392151162790704,0.20496148255813956,0.7393634883720931,0.9210558139534885,1.0,1.0,0.8371133574580855
1,460.092,486.74905000000007,0.9300186046511628,0.8680254651162789,0.08747674418604647,0.16496816860465136,0.5997093023255814,0.9859209302325581,1.0,1.0,0.9169248078312602
2,453.155,476.0541,0.9461511627906978,0.8928974418604652,0.06731104651162782,0.1338781976744186,0.4915948837209303,0.9919720930232558,1.0,1.0,0.9385555492698757
3,465.5,477.47644999999994,0.9174418604651162,0.8895896511627909,0.10319767441860465,0.13801293604651146,0.4915269767441865,0.9976744186046512,0.7,1.0,0.640715792320173
4,465.9355,466.36304999999993,0.9164290697674419,0.9154347674418606,0.10446366279069765,0.10570654069767421,0.41282139534883744,0.9508627906976743,1.0,1.0,0.8713983027555434
5,463.1905,458.1762,0.9228127906976744,0.9344739534883721,0.09648401162790693,0.08190755813953486,0.43227116279069794,0.9636767441860464,1.0,1.0,0.8892932256327744
6,463.0,458.6933499999999,0.9232558139534883,0.9332712790697677,0.09593023255813954,0.08341090116279039,0.3801002325581396,0.967093023255814,0.75,1.0,0.6696556922660898
7,459.65,451.20375,0.931046511627907,0.950688953488372,0.08619186046511622,0.06163880813953492,0.33044720930232563,0.9439790697674418,1.0,1.0,0.8788884199567334
8,454.75,445.8112,0.9424418604651162,0.9632297674418605,0.07194767441860465,0.04596279069767437,0.2926109302325584,0.9672488372093022,1.0,1.0,0.9115757936722552
9,460.5,448.1561,0.9290697674418604,0.957776511627907,0.08866279069767442,0.05277936046511622,0.2675276744186049,0.9314162790697674,0.8500000000000001,1.0,0.7355480999188752
10,455.0,442.6245,0.9418604651162791,0.9706406976744186,0.07267441860465117,0.036699127906976776,0.30136348837209326,0.9484767441860467,1.0,1.0,0.893332747431044
11,448.9355,438.52660000000003,0.9559639534883722,0.9801706976744186,0.05504505813953486,0.024786627906976832,0.2828011627906979,0.9612813953488373,1.0,1.0,0.9189503631124933
12,448.09450000000004,441.4094000000001,0.9579197674418604,0.9734665116279066,0.05260029069767453,0.033166860465116625,0.24764395348837248,0.9214837209302326,0.8,1.0,0.7061659773239589
13,445.86699999999996,438.41445000000004,0.9631000000000001,0.9804315116279069,0.04612499999999989,0.024460610465116408,0.2649709302325584,0.9651162790697675,1.0,1.0,0.9295034883720932
14,443.75,433.56904999999995,0.9680232558139534,0.9916998837209303,0.03997093023255814,0.010375145348837057,0.2437283720930234,0.9591837209302326,1.0,1.0,0.9285121484586263
