t,governance,proposed_claims,proposed_intensity,accepted,reject_reason,n_rejected,claim_value,theme
3,governed,MISLEADING,0.8,False,claims,1,47.85,ECONOMIC
6,governed,MISLEADING,0.8,False,claims,1,47.85,ECONOMIC
9,governed,MISLEADING,0.8,False,claims,1,47.85,ECONOMIC
12,governed,MISLEADING,0.8,False,claims,1,47.85,ECONOMIC
