t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,525.3695,552.51565,0.9738876953125,0.9208678710937499,0.043520507812500046,0.1318868815104168,0.4754449218750002,0.9639326171875,1.0,1.0,0.9387621149892806
1,526.1890000000001,543.47355,0.9722871093749998,0.9385282226562499,0.04618815104166692,0.10245296223958347,0.40090761718750023,0.9397529296875,1.0,1.0,0.9137096595325469
2,523.626,535.0507999999999,0.97729296875,0.9549789062500003,0.037845052083333254,0.07503515624999955,0.35834726562499997,0.9623222656250001,1.0,1.0,0.9404707838668824
3,532.1105,540.4082500000001,0.9607216796875,0.9445151367187499,0.0654638671875,0.09247477213541687,0.30508613281249997,0.9329960937499999,0.5,1.0,0.44817478716468806
4,528.9549999999999,534.07835,0.9668847656250001,0.95687822265625,0.05519205729166642,0.07186962890625,0.29822558593750015,0.9640205078125001,1.0,1.0,0.9320967427539828
5,526.1785,528.2764500000001,0.9723076171875,0.9682100585937499,0.046153971354166615,0.052983235677083546,0.2582375000000001,0.9913984375,1.0,1.0,0.9639442524490357
6,523.9255,534.8615500000001,0.9767080078124999,0.9553485351562498,0.038819986979166846,0.07441910807291692,0.28648203124999994,0.965568359375,0.45,1.0,0.4243852569113731
7,525.792,529.5717,0.9730624999999999,0.9656802734375001,0.044895833333333426,0.05719954427083321,0.2133166015625001,0.9994921875,1.0,1.0,0.9725683666992188
8,525.2170000000001,525.5530499999999,0.9741855468749998,0.9735291992187503,0.04302408854166698,0.044118001302082904,0.1685304687500001,0.9980263671875003,1.0,1.0,0.9722628623142243
9,522.749,534.3697999999999,0.979005859375,0.9563089843750001,0.034990234375000075,0.0728183593749998,0.24059375000000005,0.9699374999999999,0.5,1.0,0.47478724786376947
10,523.3254999999999,530.3385999999998,0.9778798828125002,0.9641824218750004,0.0368668619791664,0.05969596354166606,0.20754902343750004,0.9869335937500001,1.0,1.0,0.9651025069999698
11,522.4005,525.397,0.9796865234375001,0.9738339843749999,0.03385579427083322,0.04361002604166682,0.16507656250000002,0.9903808593750001,1.0,1.0,0.9702627810001375
12,522.4255,532.43905,0.9796376953124999,0.9600799804687501,0.033937174479166846,0.0665333658854165,0.2346037109375,0.9604970703125002,0.45,1.0,0.4234226113419056
13,524.75,529.0476000000001,0.97509765625,0.9667039062499998,0.04150390624999999,0.05549348958333366,0.18978867187500004,0.9805380859374999,1.0,1.0,0.9561203894615172
14,520.8335,523.4433,0.9827470703125001,0.9776498046875,0.028754882812499858,0.0372503255208334,0.15024531249999995,0.9918349609375001,1.0,1.0,0.9747229020948412
